Player,Country,Date of Birth,Player_ID
Dennis Rommedahl,Denmark,1978-07-22,DEN-ROMMDENN-19780722
Jesper Christiansen,Denmark,1978-04-24,DEN-CHRIJESP-19780424
Jesper Grønkjær,Denmark,1977-08-12,DEN-GRØNJESP-19770812
Jan Heintze,Denmark,1963-08-17,DEN-HEINJAN-19630817
Lars Høgh,Denmark,1959-01-14,DEN-HØGHLARS-19590114
Robert Skov,Denmark,1996-05-20,DEN-SKOVROBE-19960520
Joakim Mæhle,Denmark,1997-05-20,DEN-MÆHLJOAK-19970520
Christian Nørgaard,Denmark,1994-03-10,DEN-NØRGCHRI-19940310
Victor Nelsson,Denmark,1998-10-14,DEN-NELSVICT-19981014
Rasmus Kristensen,Denmark,1997-07-11,DEN-KRISRASM-19970711
Oliver Christensen,Denmark,1999-03-22,DEN-CHRIOLIV-19990322
Daniel Wass,Denmark,1989-05-31,DEN-WASSDANI-19890531
Jonas Wind,Denmark,1999-02-07,DEN-WINDJONA-19990207
Pierre-Emile Højbjerg,Denmark,1995-08-05,DEN-HØJBPIER-19950805
Brian Steen Nielsen,Denmark,1968-12-28,DEN-NIELBRIA-19681228
Joachim Andersen,Denmark,1996-05-31,DEN-ANDEJOAC-19960531
Jon Dahl Tomasson,Denmark,1976-08-29,DEN-TOMAJON-19760829
Mikkel Damsgaard,Denmark,2000-07-03,DEN-DAMSMIKK-20000703
Steven Lustu,Denmark,1971-04-13,DEN-LUSTSTEV-19710413
Niclas Jensen,Denmark,1974-08-17,DEN-JENSNICL-19740817
Marc Rieper,Denmark,1968-06-05,DEN-RIEPMARC-19680605
Michael Schjønberg,Denmark,1967-01-19,DEN-SCHJMICH-19670119
Peter Schmeichel,Denmark,1963-11-18,DEN-SCHMPETE-19631118
Pione Sisto,Denmark,1995-02-04,DEN-SISTPION-19950204
Jens Jørn Bertelsen,Denmark,1952-02-15,DEN-BERTJENS-19520215
Andreas Cornelius,Denmark,1993-03-16,DEN-CORNANDR-19930316
Yussuf Poulsen,Denmark,1994-06-15,DEN-POULYUSS-19940615
Lasse Schone,Denmark,1986-05-27,DEN-SCHOLASS-19860527
Jens Stryger Larsen,Denmark,1991-02-21,DEN-LARSJENS-19910221
Michael Laudrup,Denmark,1964-06-15,DEN-LAUDMICH-19640615
Brian Laudrup,Denmark,1969-02-22,DEN-LAUDBRIA-19690222
Lukas Lerager,Denmark,1993-07-12,DEN-LERALUKA-19930712
Thomas Sørensen,Denmark,1976-06-12,DEN-SØRETHOM-19760612
Kasper Bøgelund,Denmark,1980-10-08,DEN-BØGEKASP-19801008
Peter Madsen,Denmark,1978-04-26,DEN-MADSPETE-19780426
Henrik Andersen,Denmark,1965-05-07,DEN-ANDEHENR-19650507
Per Frimann,Denmark,1962-06-04,DEN-FRIMPER-19620604
Allan Simonsen,Denmark,1952-12-15,DEN-SIMOALLA-19521215
Jan Michaelsen,Denmark,1970-11-28,DEN-MICHJAN-19701128
Ole Qvist,Denmark,1950-02-25,DEN-QVISOLE-19500225
Kent Nielsen,Denmark,1961-12-28,DEN-NIELKENT-19611228
Flemming Christensen,Denmark,1958-04-10,DEN-CHRIFLEM-19580410
John Eriksen,Denmark,1957-11-20,DEN-ERIKJOHN-19571120
Frank Arnesen,Denmark,1956-09-30,DEN-ARNEFRAN-19560930
"Hendrikus V ""Henk"" Zomers",Dutch East Indies,1912-11-19,DUT-ZOMEHEND-19121119
Jan Harting,Dutch East Indies,,DUT-HARTJAN-nan
Tan Hong Djien,Dutch East Indies,1916-01-12,DUT-DJIETAN-19160112
"Tan ""Bing"" Mo Heng",Dutch East Indies,1913-02-28,DUT-HENGTAN-19130228
Tan See Han,Dutch East Indies,1910-01-01,DUT-HANTAN-19100101
Rudi Telwe,Dutch East Indies,,DUT-TELWRUDI-nan
G Van Den Burgh,Dutch East Indies,,DUT-BURGG-nan
Gerrit Faulhaber,Dutch East Indies,1912-09-22,DUT-FAULGERR-19120922
Sutan Anwar,Dutch East Indies,1914-03-21,DUT-ANWASUTA-19140321
Frans G Hukom,Dutch East Indies,1915-09-28,DUT-HUKOFRAN-19150928
Achmad Nawir,Dutch East Indies,1912-06-30,DUT-NAWIACHM-19120630
Leen van Beuzekom,Dutch East Indies,,DUT-BEUZLEEN-nan
MJ Hans Taihuttu,Dutch East Indies,1909-01-01,DUT-TAIHMJ-19090101
Jack Samuels,Dutch East Indies,1918-03-29,DUT-SAMUJACK-19180329
"Isaak ""Tjaak"" Pattiwael",Dutch East Indies,1914-02-23,DUT-PATTISAA-19140223
Suvarte Soedarmadji,Dutch East Indies,1915-12-06,DUT-SOEDSUVA-19151206
Frans Meeng,Dutch East Indies,1910-01-18,DUT-MEENFRAN-19100118
Jurgen Pommerenke,East Germany,1953-01-22,EAS-POMMJURG-19530122
Harald Irmscher,East Germany,1946-02-12,EAS-IRMSHARA-19460212
Reinhard Lauck,East Germany,1946-09-16,EAS-LAUCREIN-19460916
Gerd Kische,East Germany,1951-10-23,EAS-KISCGERD-19511023
Werner Friese,East Germany,1946-03-30,EAS-FRIEWERN-19460330
Martin Hoffmann,East Germany,1955-03-22,EAS-HOFFMART-19550322
Wolfgang Blochwitz,East Germany,1941-02-08,EAS-BLOCWOLF-19410208
Eberhard Vogel,East Germany,1943-04-08,EAS-VOGEEBER-19430408
Wolfgang Seguin,East Germany,1945-09-14,EAS-SEGUWOLF-19450914
Jurgen Croy,East Germany,1946-10-19,EAS-CROYJURG-19461019
Erich Hamann,East Germany,1944-11-27,EAS-HAMAERIC-19441127
Bernd Bransch,East Germany,1944-09-24,EAS-BRANBERN-19440924
Lothar Kurbjuweit,East Germany,1950-11-06,EAS-KURBLOTH-19501106
Siegmar Watzlich,East Germany,1947-11-16,EAS-WATZSIEG-19471116
Joachim Streich,East Germany,1951-04-13,EAS-STREJOAC-19510413
Hans-Jurgen Kreische,East Germany,1947-07-19,EAS-KREIHANS-19470719
Jurgen Sparwasser,East Germany,1948-06-04,EAS-SPARJURG-19480604
Wolfram Lowe,East Germany,1945-05-14,EAS-LOWEWOLF-19450514
Joachim Fritsche,East Germany,1951-10-28,EAS-FRITJOAC-19511028
Rudiger Schnuphase,East Germany,1954-01-23,EAS-SCHNRUDI-19540123
Konrad Weise,East Germany,1951-08-17,EAS-WEISKONR-19510817
Peter Ducke,East Germany,1941-10-14,EAS-DUCKPETE-19411014
Cleber Chala,Ecuador,1971-06-29,ECU-CHALCLEB-19710629
Alex Aguinaga,Ecuador,1968-07-09,ECU-AGUIALEX-19680709
Agustin Delgado,Ecuador,1974-12-23,ECU-DELGAGUS-19741223
Oswaldo Ibarra,Ecuador,1969-09-08,ECU-IBAROSWA-19690908
Angel Fernandez,Ecuador,1971-08-02,ECU-FERNANGE-19710802
Juan Carlos Burbano,Ecuador,1969-02-15,ECU-BURBJUAN-19690215
Marlon Ayovi,Ecuador,1971-09-27,ECU-AYOVMARL-19710927
Segundo Castillo,Ecuador,1982-05-15,ECU-CASTSEGU-19820515
Jose Francisco Cevallos,Ecuador,1971-04-17,ECU-CEVAJOSE-19710417
Neicer Reasco,Ecuador,1977-07-23,ECU-REASNEIC-19770723
Ivan Hurtado,Ecuador,1974-08-16,ECU-HURTIVAN-19740816
Augusto Poroso,Ecuador,1974-04-13,ECU-POROAUGU-19740413
Ulises de la Cruz,Ecuador,1974-02-08,ECU-CRUZULIS-19740208
Damian Lanza,Ecuador,1982-04-10,ECU-LANZDAMI-19820410
Jeremy Sarmiento,Ecuador,2002-06-16,ECU-SARMJERE-20020616
Carlos Tenorio,Ecuador,1979-05-14,ECU-TENOCARL-19790514
Antonio Valencia,Ecuador,1985-08-04,ECU-VALEANTO-19850804
Ivan Kaviedes,Ecuador,1977-10-24,ECU-KAVIIVAN-19771024
Nicolas Asencio,Ecuador,1975-04-26,ECU-ASENNICO-19750426
Alfonso Obregon,Ecuador,1972-05-12,ECU-OBREALFO-19720512
Jorge Guagua,Ecuador,1981-09-28,ECU-GUAGJORG-19810928
Patricio Urrutia,Ecuador,1978-10-15,ECU-URRUPATR-19781015
Christian Benitez,Ecuador,1986-05-01,ECU-BENICHRI-19860501
Felix Borja,Ecuador,1983-04-02,ECU-BORJFELI-19830402
Edwin Villafuerte,Ecuador,1979-03-12,ECU-VILLEDWI-19790312
Cristian Mora,Ecuador,1979-08-26,ECU-MORACRIS-19790826
Paul Ambrosi,Ecuador,1980-10-14,ECU-AMBRPAUL-19801014
Luis Gomez,Ecuador,1972-04-20,ECU-GOMELUIS-19720420
Walter Ayovi,Ecuador,1979-08-11,ECU-AYOVWALT-19790811
Wellington Sanchez,Ecuador,1974-06-19,ECU-SANCWELL-19740619
Edwin Tenorio,Ecuador,1976-06-16,ECU-TENOEDWI-19760616
Edison Mendez,Ecuador,1979-03-16,ECU-MENDEDIS-19790316
Christian Lara,Ecuador,1980-04-27,ECU-LARACHRI-19800427
Adrian Bone,Ecuador,1988-09-08,ECU-BONEADRI-19880908
Raul Guerron,Ecuador,1976-10-12,ECU-GUERRAUL-19761012
Luis Saritama,Ecuador,1983-10-20,ECU-SARILUIS-19831020
Daniel Viteri,Ecuador,1981-12-12,ECU-VITEDANI-19811212
Jaime Ayovi,Ecuador,1988-02-21,ECU-AYOVJAIM-19880221
Jose Luis Perlaza,Ecuador,1981-10-06,ECU-PERLJOSE-19811006
Oswaldo Minda,Ecuador,1983-07-26,ECU-MINDOSWA-19830726
Hernan Galindez,Ecuador,1987-03-30,ECU-GALIHERN-19870330
Maximo Banguera,Ecuador,1985-12-16,ECU-BANGMAXI-19851216
Frickson Erazo,Ecuador,1988-05-05,ECU-ERAZFRIC-19880505
Juan Carlos Paredes,Ecuador,1987-07-08,ECU-PAREJUAN-19870708
Renato Ibarra,Ecuador,1991-01-20,ECU-IBARRENA-19910120
Sebas Mendez,Ecuador,1997-04-26,ECU-MENDSEBA-19970426
Jefferson Montero,Ecuador,1989-09-01,ECU-MONTJEFF-19890901
Alexander Dominguez,Ecuador,1987-06-05,ECU-DOMIALEX-19870605
Christian Noboa,Ecuador,1985-04-09,ECU-NOBOCHRI-19850409
Gabriel Achilier,Ecuador,1985-03-24,ECU-ACHIGABR-19850324
Fidel Martinez,Ecuador,1990-02-15,ECU-MARTFIDE-19900215
Oscar Bagui,Ecuador,1982-12-10,ECU-BAGUOSCA-19821210
Jackson Porozo,Ecuador,2000-08-04,ECU-POROJACK-20000804
Moises Caicedo,Ecuador,2001-11-02,ECU-CAICMOIS-20011102
Alan Franco,Ecuador,1998-08-21,ECU-FRANALAN-19980821
Michael Arroyo,Ecuador,1987-04-23,ECU-ARROMICH-19870423
Giovanny Espinoza,Ecuador,1977-04-12,ECU-ESPIGIOV-19770412
Carlos Gruezo,Ecuador,1995-04-19,ECU-GRUECARL-19950419
Djorkaeff Reasco,Ecuador,1999-01-18,ECU-REASDJOR-19990118
Gonzalo Plata,Ecuador,2000-11-01,ECU-PLATGONZ-20001101
Joao Rojas,Ecuador,1989-06-14,ECU-ROJAJOAO-19890614
Enner Valencia,Ecuador,1989-11-04,ECU-VALEENNE-19891104
Xavier Arreaga,Ecuador,1994-09-28,ECU-ARREXAVI-19940928
Michael Estrada,Ecuador,1996-04-07,ECU-ESTRMICH-19960407
Kevin Rodriguez,Ecuador,2000-03-04,ECU-RODRKEVI-20000304
Felipe Caicedo,Ecuador,1988-09-05,ECU-CAICFELI-19880905
Diego Palacios,Ecuador,1999-07-12,ECU-PALADIEG-19990712
Felix Torres,Ecuador,1997-01-11,ECU-TORRFELI-19970111
Moises Ramirez,Ecuador,2000-09-09,ECU-RAMIMOIS-20000909
Robert Arboleda,Ecuador,1991-10-22,ECU-ARBOROBE-19911022
Jose Cifuentes,Ecuador,1999-03-12,ECU-CIFUJOSE-19990312
Willian Pacho,Ecuador,2001-10-16,ECU-PACHWILL-20011016
Pervis Estupinan,Ecuador,1998-01-21,ECU-ESTUPERV-19980121
Ayrton Preciado,Ecuador,1994-07-17,ECU-PRECAYRT-19940717
Romario Ibarra,Ecuador,1994-09-24,ECU-IBARROMA-19940924
Piero Hincapie,Ecuador,2002-01-09,ECU-HINCPIER-20020109
Angel Mena,Ecuador,1988-01-21,ECU-MENAANGE-19880121
Angelo Preciado,Ecuador,1998-02-18,ECU-PRECANGE-19980218
Adel Abdel Rahman,Egypt,1967-12-11,EGY-RAHMADEL-19671211
Ahmed El-Kass,Egypt,1965-07-08,EGY-EL-KAHME-19650708
Ayman Taher,Egypt,1966-01-07,EGY-TAHEAYMA-19660107
Thabet El-Batal,Egypt,1953-09-16,EGY-EL-BTHAB-19530916
Gamal Abdel-Hamid,Egypt,1957-11-24,EGY-ABDEGAMA-19571124
Magdi Abdelghani,Egypt,1959-07-27,EGY-ABDEMAGD-19590727
Ahmed Halim Ibrahim,Egypt,1910-02-10,EGY-IBRAAHME-19100210
Ismail Youssef,Egypt,1964-06-28,EGY-YOUSISMA-19640628
Ahmed Shobair,Egypt,1960-09-28,EGY-SHOBAHME-19600928
Ibrahim Hassan,Egypt,1966-08-10,EGY-HASSIBRA-19660810
Hesham Yakan,Egypt,1962-08-10,EGY-YAKAHESH-19620810
Rabie Yassin,Egypt,1960-09-07,EGY-YASSRABI-19600907
Hossam Hassan,Egypt,1966-08-10,EGY-HASSHOSS-19660810
Tarek Soliman,Egypt,1962-01-24,EGY-SOLITARE-19620124
Labib Mahmoud,Egypt,,EGY-MAHMLABI-nan
Magdy Tolba,Egypt,1964-02-24,EGY-TOLBMAGD-19640224
Hany Ramzy,Egypt,1969-03-10,EGY-RAMZHANY-19690310
Ashraf Kasem,Egypt,1966-07-25,EGY-KASEASHR-19660725
Taher Abouzeid,Egypt,1962-04-10,EGY-ABOUTAHE-19620410
Mostafa Taha,Egypt,1910-03-23,EGY-TAHAMOST-19100323
Hassan Raghab,Egypt,1909-01-01,EGY-RAGHHASS-19090101
Ismail Rafaat,Egypt,1912-03-12,EGY-RAFAISMA-19120312
Moustafa Helmi Youssef,Egypt,1911-06-11,EGY-YOUSMOUS-19110611
Kamel Mosaoud,Egypt,1914-08-02,EGY-MOSAKAME-19140802
Osama Orabi,Egypt,1962-01-22,EGY-ORABOSAM-19620122
Hafez Kasseb,Egypt,,EGY-KASSHAFE-nan
Mohammed Hassan,Egypt,1905-02-05,EGY-HASSMOHA-19050205
Ahmed Ramzy,Egypt,1965-10-25,EGY-RAMZAHME-19651025
Alaa Maihoub,Egypt,1963-01-19,EGY-MAIHALAA-19630119
Saber Eid,Egypt,1959-05-01,EGY-EIDSABE-19590501
Mustafa Mansour,Egypt,1914-08-02,EGY-MANSMUST-19140802
Hamidu,Egypt,,EGY-HAMI-nan
Ramadan Sobhi,Egypt,1997-01-23,EGY-SOBHRAMA-19970123
Abdulrahman Fawzi,Egypt,1909-08-11,EGY-FAWZABDU-19090811
Mohammed Bakhati,Egypt,,EGY-BAKHMOHA-nan
Mahmoud 'El-Tetsh' Mokhtar,Egypt,1907-12-23,EGY-MOKHMAHM-19071223
Yacout El-Soury,Egypt,,EGY-EL-SYACO-nan
Ali El-Kaf,Egypt,1906-06-15,EGY-EL-KALI-19060615
Mohamed Latif,Egypt,1909-10-23,EGY-LATIMOHA-19091023
Hassan El-Far,Egypt,1912-05-21,EGY-EL-FHASS-19120521
Mohamed El Shenawy,Egypt,1988-12-18,EGY-SHENMOHA-19881218
Ayman Shawky,Egypt,1962-12-09,EGY-SHAWAYMA-19621209
Mohamed Elneny,Egypt,1992-07-11,EGY-ELNEMOHA-19920711
Trezeguet,Egypt,1994-10-01,EGY-TREZ-19941001
Essam El Hadary,Egypt,1973-01-15,EGY-HADAESSA-19730115
Ali Gabr,Egypt,1989-01-01,EGY-GABRALI-19890101
Ahmed Elmohamady,Egypt,1987-09-09,EGY-ELMOAHME-19870909
Omar Gaber,Egypt,1992-01-30,EGY-GABEOMAR-19920130
Sam Morsy,Egypt,1991-09-10,EGY-MORSSAM-19910910
Mahmoud El-Nigero,Egypt,,EGY-EL-NMAHM-nan
Ahmed Fathy,Egypt,1984-11-10,EGY-FATHAHME-19841110
Ahmed Hegazi,Egypt,1991-01-25,EGY-HEGAAHME-19910125
Kahraba,Egypt,1994-04-13,EGY-KAHR-19940413
Saad Samir,Egypt,1989-04-01,EGY-SAMISAAD-19890401
Shikabala,Egypt,1986-03-05,EGY-SHIK-19860305
Aziz Fahmy,Egypt,,EGY-FAHMAZIZ-nan
Sherif Ekramy,Egypt,1983-07-10,EGY-EKRASHER-19830710
Abdallah El Said,Egypt,1985-07-13,EGY-SAIDABDA-19850713
Mohamed Abdel Shafy,Egypt,1985-07-01,EGY-SHAFMOHA-19850701
Ayman Ashraf,Egypt,1991-04-09,EGY-ASHRAYMA-19910409
Mohamed Salah,Egypt,1992-06-15,EGY-SALAMOHA-19920615
Amr Warda,Egypt,1993-09-17,EGY-WARDAMR-19930917
Marwan Mohsen,Egypt,1989-02-26,EGY-MOHSMARW-19890226
Tarek Hamed,Egypt,1988-10-24,EGY-HAMETARE-19881024
Mahmoud Hamdy,Egypt,1995-06-01,EGY-HAMDMAHM-19950601
Jose Quintanilla,El Salvador,1947-10-29,EL -QUINJOSE-19471029
Santiago Cortes,El Salvador,1945-01-19,EL -CORTSANT-19450119
Salvador Mariona,El Salvador,1943-12-16,EL -MARISALV-19431216
Raul Magana,El Salvador,1940-02-24,EL -MAGARAUL-19400224
Juan Ramon Martinez,El Salvador,1948-04-20,EL -MARTJUAN-19480420
Salvador Cabezas,El Salvador,1947-02-28,EL -CABESALV-19470228
Ernesto Aparicio,El Salvador,1948-12-28,EL -APARERNE-19481228
Mario Monge,El Salvador,1938-11-27,EL -MONGMARI-19381127
Tomas Pineda,El Salvador,1946-01-21,EL -PINETOMA-19460121
Gualberto Fernandez,El Salvador,1941-07-12,EL -FERNGUAL-19410712
David Cabrera,El Salvador,1945-09-12,EL -CABRDAVI-19450912
Mauricio Rodriguez,El Salvador,1945-09-12,EL -RODRMAUR-19450912
Genaro Sarmeno,El Salvador,1948-11-28,EL -SARMGENA-19481128
Jaime Portillo,El Salvador,1947-09-18,EL -PORTJAIM-19470918
Guillermo Castro,El Salvador,1940-06-25,EL -CASTGUIL-19400625
Sergio Mendez,El Salvador,1942-02-14,EL -MENDSERG-19420214
Alberto Villalta,El Salvador,1947-11-19,EL -VILLALBE-19471119
Elmer Acevedo,El Salvador,1946-02-24,EL -ACEVELME-19460224
Jorge Vasquez,El Salvador,1945-04-23,EL -VASQJORG-19450423
Mauricio Manzano,El Salvador,1943-09-30,EL -MANZMAUR-19430930
Saturnino Osorio,El Salvador,1945-01-06,EL -OSORSATU-19450106
Miguel Angel Diaz,El Salvador,1957-01-27,EL -DIAZMIGU-19570127
Jose Francisco Jovel,El Salvador,1951-05-26,EL -JOVEJOSE-19510526
Roberto Rivas,El Salvador,1941-07-17,EL -RIVAROBE-19410717
Mario Castillo,El Salvador,1951-10-30,EL -CASTMARI-19511030
Luis Guevara Mora,El Salvador,1961-09-02,EL -MORALUIS-19610902
Ramon Fagoaga,El Salvador,1952-01-12,EL -FAGORAMO-19520112
Jose Luis Munguia,El Salvador,1959-10-28,EL -MUNGJOSE-19591028
Eduardo Hernandez,El Salvador,1958-01-31,EL -HERNEDUA-19580131
Guillermo Ragazzone,El Salvador,1956-01-05,EL -RAGAGUIL-19560105
Mauricio Alfaro,El Salvador,1956-02-13,EL -ALFAMAUR-19560213
Jaime Rodriguez,El Salvador,1959-01-17,EL -RODRJAIM-19590117
Joaquin Ventura,El Salvador,1956-10-27,EL -VENTJOAQ-19561027
Luis Ramirez Zapata,El Salvador,1954-01-06,EL -ZAPALUIS-19540106
Francisco Osorto,El Salvador,1957-03-20,EL -OSORFRAN-19570320
Jorge Gonzalez,El Salvador,1958-03-13,EL -GONZJORG-19580313
Norberto Huezo,El Salvador,1956-06-06,EL -HUEZNORB-19560606
Ever Hernandez,El Salvador,1958-12-11,EL -HERNEVER-19581211
Jose Luis Rugamas,El Salvador,1953-06-05,EL -RUGAJOSE-19530605
Silvio Aquino,El Salvador,1949-06-30,EL -AQUISILV-19490630
Carlos Recinos,El Salvador,1950-06-30,EL -RECICARL-19500630
Jose Maria Rivas,El Salvador,1958-05-12,EL -RIVAJOSE-19580512
Alex Stepney,England,1942-09-18,ENG-STEPALEX-19420918
Francis Lee,England,1944-04-29,ENG-LEEFRAN-19440429
Gareth Barry,England,1981-02-23,ENG-BARRGARE-19810223
Keith Newton,England,1941-06-23,ENG-NEWTKEIT-19410623
Terry Cooper,England,1944-07-12,ENG-COOPTERR-19440712
Terry Paine,England,1939-03-23,ENG-PAINTERR-19390323
Jermain Defoe,England,1982-10-07,ENG-DEFOJERM-19821007
Wayne Bridge,England,1980-08-05,ENG-BRIDWAYN-19800805
Wes Brown,England,1979-10-13,ENG-BROWWES-19791013
Emile Heskey,England,1978-01-11,ENG-HESKEMIL-19780111
Stephen Warnock,England,1981-12-12,ENG-WARNSTEP-19811212
Shaun Wright-Phillips,England,1981-10-25,ENG-WRIGSHAU-19811025
Robert Green,England,1980-01-18,ENG-GREEROBE-19800118
Gary Cahill,England,1985-12-19,ENG-CAHIGARY-19851219
Glen Johnson,England,1984-08-23,ENG-JOHNGLEN-19840823
Tommy Wright,England,1944-10-21,ENG-WRIGTOMM-19441021
Emlyn Hughes,England,1947-08-28,ENG-HUGHEMLY-19470828
Colin Bell,England,1946-02-26,ENG-BELLCOLI-19460226
Peter Osgood,England,1947-02-20,ENG-OSGOPETE-19470220
Jack Wilshere,England,1992-01-01,ENG-WILSJACK-19920101
Phil Jagielka,England,1982-08-17,ENG-JAGIPHIL-19820817
Ken Armstrong,England,1924-06-03,ENG-ARMSKEN-19240603
Leighton Baines,England,1984-12-11,ENG-BAINLEIG-19841211
Allan Clarke,England,1946-07-31,ENG-CLARALLA-19460731
Jeff Astle,England,1942-05-13,ENG-ASTLJEFF-19420513
Matthew Upson,England,1979-04-18,ENG-UPSOMATT-19790418
John Aston,England,1921-09-03,ENG-ASTOJOHN-19210903
Michael Dawson,England,1983-11-18,ENG-DAWSMICH-19831118
Robbie Fowler,England,1975-04-09,ENG-FOWLROBB-19750409
Danny Mills,England,1977-05-18,ENG-MILLDANN-19770518
Bedford Jezzard,England,1927-10-19,ENG-JEZZBEDF-19271019
Bobby Robson,England,1933-02-18,ENG-ROBSBOBB-19330218
Bryan Douglas,England,1934-05-27,ENG-DOUGBRYA-19340527
Bill Slater,England,1927-04-29,ENG-SLATBILL-19270429
Eddie Clamp,England,1934-09-14,ENG-CLAMEDDI-19340914
Tommy Banks,England,1929-11-10,ENG-BANKTOMM-19291110
Don Howe,England,1935-10-12,ENG-HOWEDON-19351012
Eddie Hopkinson,England,1935-10-29,ENG-HOPKEDDI-19351029
Graham Rix,England,1957-10-23,ENG-RIXGRAH-19571023
Stan Mortensen,England,1921-05-26,ENG-MORTSTAN-19210526
Alan Ball,England,1945-05-12,ENG-BALLALAN-19450512
Daniel Sturridge,England,1989-09-01,ENG-STURDANI-19890901
Martin Peters,England,1943-11-08,ENG-PETEMART-19431108
Gerry Byrne,England,1938-08-29,ENG-BYRNGERR-19380829
Jimmy Armfield,England,1935-09-21,ENG-ARMFJIMM-19350921
Peter Bonetti,England,1941-09-27,ENG-BONEPETE-19410927
Geoff Hurst,England,1941-12-08,ENG-HURSGEOF-19411208
Ledley King,England,1980-10-12,ENG-KINGLEDL-19801012
Jack Charlton,England,1935-05-08,ENG-CHARJACK-19350508
Peter Shilton,England,1949-09-18,ENG-SHILPETE-19490918
Tony Woodcock,England,1955-12-06,ENG-WOODTONY-19551206
Peter Withe,England,1951-08-30,ENG-WITHPETE-19510830
David Seaman,England,1963-09-19,ENG-SEAMDAVI-19630919
Ashley Cole,England,1980-12-20,ENG-COLEASHL-19801220
Joe Hart,England,1987-04-19,ENG-HARTJOE-19870419
Jordan Pickford,England,1994-03-07,ENG-PICKJORD-19940307
Kyle Walker,England,1990-05-28,ENG-WALKKYLE-19900528
Danny Rose,England,1990-07-02,ENG-ROSEDANN-19900702
Harry Hooper,England,1933-06-14,ENG-HOOPHARR-19330614
Johnny Haynes,England,1934-10-17,ENG-HAYNJOHN-19341017
Trevor Sinclair,England,1973-03-02,ENG-SINCTREV-19730302
James Milner,England,1986-01-04,ENG-MILNJAME-19860104
Peter Reid,England,1956-06-20,ENG-REIDPETE-19560620
Steve Bull,England,1965-03-28,ENG-BULLSTEV-19650328
Nicky Butt,England,1975-01-21,ENG-BUTTNICK-19750121
David James,England,1970-08-01,ENG-JAMEDAVI-19700801
Kieron Dyer,England,1978-12-29,ENG-DYERKIER-19781229
Tim Flowers,England,1967-02-03,ENG-FLOWTIM-19670203
Rio Ferdinand,England,1978-11-07,ENG-FERDRIO-19781107
Michael Owen,England,1979-12-14,ENG-OWENMICH-19791214
Les Ferdinand,England,1966-12-08,ENG-FERDLES-19661208
Martin Keown,England,1966-07-24,ENG-KEOWMART-19660724
Rob Lee,England,1966-02-01,ENG-LEEROB-19660201
Paul Scholes,England,1974-11-16,ENG-SCHOPAUL-19741116
Paul Merson,England,1968-03-20,ENG-MERSPAUL-19680320
Darren Anderton,England,1972-03-03,ENG-ANDEDARR-19720303
Nigel Martyn,England,1966-08-11,ENG-MARTNIGE-19660811
Paul Ince,England,1967-10-21,ENG-INCEPAUL-19671021
Gary Neville,England,1975-02-18,ENG-NEVIGARY-19750218
Teddy Sheringham,England,1966-04-02,ENG-SHERTEDD-19660402
Alan Shearer,England,1970-08-13,ENG-SHEAALAN-19700813
Ray Wilkins,England,1956-09-14,ENG-WILKRAY-19560914
Phil Thompson,England,1954-01-21,ENG-THOMPHIL-19540121
Gary Bailey,England,1958-08-09,ENG-BAILGARY-19580809
Kerry Dixon,England,1961-07-24,ENG-DIXOKERR-19610724
David Batty,England,1968-12-02,ENG-BATTDAVI-19681202
David Beckham,England,1975-05-02,ENG-BECKDAVI-19750502
Gareth Southgate,England,1970-09-03,ENG-SOUTGARE-19700903
Tony Adams,England,1966-10-10,ENG-ADAMTONY-19661010
Graeme Le Saux,England,1968-10-17,ENG-SAUXGRAE-19681017
Brian Labone,England,1940-01-23,ENG-LABOBRIA-19400123
Derek Kevan,England,1935-03-06,ENG-KEVADERE-19350306
Steve McManaman,England,1972-02-11,ENG-MCMASTEV-19720211
Stuart Pearce,England,1962-04-24,ENG-PEARSTUA-19620424
Sol Campbell,England,1974-09-18,ENG-CAMPSOL-19740918
Peter Beardsley,England,1961-01-18,ENG-BEARPETE-19610118
Ian Callaghan,England,1942-04-10,ENG-CALLIAN-19420410
Alan Mullery,England,1941-11-23,ENG-MULLALAN-19411123
Owen Hargreaves,England,1981-01-20,ENG-HARGOWEN-19810120
Darius Vassell,England,1980-06-13,ENG-VASSDARI-19800613
John Barnes,England,1963-11-07,ENG-BARNJOHN-19631107
Steve Hodge,England,1962-10-25,ENG-HODGSTEV-19621025
Trevor Steven,England,1963-09-21,ENG-STEVTREV-19630921
Gary A Stevens,England,1962-03-30,ENG-STEVGARY-19620330
Terry Fenwick,England,1959-11-17,ENG-FENWTERR-19591117
Chris Woods,England,1959-11-14,ENG-WOODCHRI-19591114
Viv Anderson,England,1956-07-29,ENG-ANDEVIV-19560729
Kenny Sansom,England,1958-09-26,ENG-SANSKENN-19580926
Bryan Robson,England,1957-01-11,ENG-ROBSBRYA-19570111
Joe Cole,England,1981-11-08,ENG-COLEJOE-19811108
Allenby Chilton,England,1918-09-16,ENG-CHILALLE-19180916
Dennis Wilshaw,England,1926-03-11,ENG-WILSDENN-19260311
Bill McGarry,England,1927-06-10,ENG-MCGABILL-19270610
Ken Green,England,1924-04-27,ENG-GREEKEN-19240427
Ted Burgin,England,1927-04-29,ENG-BURGTED-19270429
Tommy Taylor,England,1932-01-29,ENG-TAYLTOMM-19320129
